"","Weather Forecast for Main Cities","","","","4-Aug-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","85","45","Mainly fair"
"Batticaloa","38","25","75","40","Mainly fair"
"Colombo","31","25","85","70","Mainly fair"
"Galle","30","27","90","80","A few showers"
"Jaffna","34","27","85","55","Mainly fair"
"Kandy","29","22","80","55","Mainly fair"
"Nuwara-Eliya","19","13","85","65","Mainly fair"
"Ratnapura","33","25","85","55","Mainly fair"
"Trincomalee","37","26","80","40","Mainly fair"
"Mannar","32","27","90","70","Mainly fair"
