"","","","","Heavy Rain / Cutting","","","","","","","","","","","","",""
"","","","Deraniyagala","Failure / Tree Fallen /","2024.06.01","39","142","","","","","35","2","","","",""
"","","","","High wind/ Lightning","","","","","","","","","","","","",""
"","","","","Lightning","2024.06.02","1","4","","","","","1","","","","",""
"","","","","Heavy Rain","2024.06.02","1","2","","","","","1","","","","",""
"","","","Ruwanwella","Heavy Rain / Cutting","","","","","","","","","","","","",""
"","","","","Failure / Tree Fallen /","2024.06.02","65","234","","","","","66","15","","","",""
"","","","","High wind","","","","","","","","","","","","",""
"","","","","Cutting Failure","2024.06.03","1","3","","","","","1","","","","",""
"","","","","","2024.06.01","2","5","","","","","2","","","","",""
"","","","","Cutting Failure","","","","","","","","","","","","",""
"","","","","","2024.06.02","2","4","","","","","1","","","","",""
"","","","Bulathkohopitiya","","","","","","","","","","","","","",""
"","","","","","2024.06.03","1","4","","","","","1","","","","",""
"","","","","High Wind","","","","","","","","","","","","",""
"","","","","","2024.06.04","2","4","","","","","2","","","","",""
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","669","2963","0","7","0","0","659","155","0","4","68","288"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","9800","37168","5","8","0","8","1867","155","0","40","351","1416"
"","","කිලිනනාච්චිය","","","","","","","","","","","","","","","Drinking water is being"
"","3","fpspnehr;rp","Karachchi","Drought","2024.04.17","432","946","","","","","","","","","","distributed for drought"
"උතුරු පලාත","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","areas"
"","","Killinochchi","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","",""
"Northen","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","432","946","0","0","0","0","0","0","0","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","432","946","0","0","0","0","0","0","0","0","0","0"
"","","","Walallavita","","2024.06.01/02","92","320","","1","","8","36","","","","",""
"","","","Mathugama","","2024.06.01/02","515","1789","","","","","12","","","2","62","206"
"","","","Palindanuwara","","2024.06.01/02","474","1730","","","","1","15","","","2","21","67"
"","","","Bulathsinghla","","2024.06.01/02","3162","11232","1","","","","1","","","11","51","202"
"","","කළුතර","Dodangoda","","2024.06.01/02","198","552","","","","","198","","","2","9","28"
"","","","","Flood/ Cutting","","","","","","","","","","","","",""
"","4","fSj;Jiw","Horana","","2024.06.01/02","33","124","","","","","6","","","","",""
"","","","","faliture/Landslide Risk","","","","","","","","","","","","",""
"","","Kalutara","Madurawela","","2024.06.01/02","232","802","","","","","1","","","1","4","15"
"","","","Millaniya","","2024.06.01/02","694","2787","1","","1","3","","","","3","7","27"
"","","","Ingiriya","","2024.06.01/02","573","2228","","1","","1","20","","","5","94","362"
"","","","Agalawattha","","2024.06.01/02","45","424","","","","1","4","","","1","6","32"
"","","","Kalutara","","2024.06.01/02","154","546","","","","","5","","","2","103","372"
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","6172","22534","2","2","1","14","298","0","0","29","357","1311"
"","","","Biyagama","","2024.06.02","4119","17783","","","","","5","1","","","",""
"","","","Kelaniya","","2024.06.02","2276","10500","","","","","","","","2","14","68"
"","","","Mahara","","2024.06.02","92","395","","","","","19","","","","",""
"","","","Dompe","","2024.06.02","741","3113","2","","","","6","","","3","194","898"
"","","","Attanagalla","","2024.06.02","1340","5347","","","","","5","","","","",""
"","","","Gamnpaha","","2024.06.02","3062","10535","","","1","","52","23","","","",""
"Western","","","","","","","","","","","","","","","","",""
"Nky; khfhzk;","","ගම්පහ","","Flood","","","","","","","","","","","","",""
"","","","Wattala","","2024.06.02","5050","20689","","","","","","","","3","34","123"
"","5","fk;g`h","","","","","","","","","","","","","","",""
"බසරනාහිර පලාත","","","","","","","","","","","","","","","","",""
"","","Gampaha","","","","","","","","","","","","","","",""
"","","","Meerigama","","2024.06.02","2","5","","","","","6","","","","",""
"","","","minuwangoda","","2024.06.02","336","1213","","","","","","","","4","167","582"
"","","","Ja-Ela","","2024.06.02","1734","6549","","","","","","","","3","26","118"
"","","","Divulapitiya","","2024.06.02","169","599","","","","","","","","","",""
"","","","Katana","","2024.06.02","1361","4541","","","","","","","","3","65","275"
"","","","From 2024.06.03","","","","","","","","","","","","","",""
"","","","","High Wind","2024.05.29","","","","","","","241","37","","","",""
"","","","Situation 16.00","","","","","","","","","","","","","",""
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","20282","81269","2","0","1","0","334","61","0","18","500","2064"
"","","","Colombo","","2024.06.02","541","2078","","","","","","","","1","125","400"
"","","","Thimbirigasyaya","","2024.06.02","10","56","","","","","3","","","1","10","56"
"","","","Homagama","","2024.06.02","87","396","","","","","","","","3","13","30"
"","","නකාළඹ","","","","","","","","","","","","","","",""
"","6","","Kolonnawa","Flood","2024.06.02","9116","33619","","","","","","","","8","279","1141"
"","","nfhOk;G Colombo","","","","","","","","","","","","","","",""
"","","","Kaduwela","","2024.06.02","3598","12594","","","","","","","","31","374","1512"
"","","","Padukka","","2024.06.02","23","85","","","","","","","","1","12","42"
"","","","Seethawaka","","2024.06.02","2057","7570","3","","","","327","216","","3","68","296"
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","15432","56398","3","0","0","0","330","216","0","48","881","3477"
