"","දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 21st July 2025 at 0900hrs","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j","","","","","",""
"","","","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","","බලපෑමට ලක්වු","","","","","","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","","","","","","","","","","tPLfs; Houses","","","","","","",""
"","","","Administrative purview","","","","ghjpf;fg;gl;l    Affected","","","","","","","Other Damages","","miktplk; Safe Location","",""
"","","","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","","","","",""
"","","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","",""
"","","","","","","","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","","","","",""
"","","","","ආපදාව","mdu;j;jk;","","","","","","","","","ඉතා වැදගත් යටිතල","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","","","kuzq;f","","","","","පරිමාණ වයාපාරික","","ආරක්ිත","","",""
"","","","","","","","","","fhakil","fhzhky;","","","","","","","",""
"","#","","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන","පවුේ","","NtW Fwpg;Gf;fs;"
"","","","","","","","","s;","e;NjhH","NghNdhH","","","ස්ත්‍
රථාන சிறிய,","","","","",""
"Province","","","ප්‍රා.ලේ. ලකා","","","","","","","","","","","","","","","Remarks"
"","","","","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","","දිස්ත්‍රික්කය","","","","","","","","","පූර්ණ හානි","","நிறுவனங்களின்","","","","",""
"","","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;",""
"","","","","","commenced","","","","","","","","","","","","",""
"","","மாவட்டம் District","","","","Families","People","","","","KOik Fully","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons",""
"","","","Division","","","","","","People","People","","","","","","","",""
"","","","","","","","","","","","","","Medium,","critical","of Safety","Families","",""
"","","","","","","","","","","","","","Enterprises","Infrastructure","Locations","","",""
"","","","","","","","","","","","","","Damages","","","","",""
"","","","Beruwala","Missing at the Sea","2025.07.19","","","1","","","","","","","","","",""
"","","කළුතර  fSj;Jiw","","","","","","","","","","","","","","","",""
"","1","","","","2025.07.14","1","4","","","","","1","","","","","",""
"Western","","Kalutara","","","","","","","","","","","","","","","",""
"","","","Kalutara","High Wind","","","","","","","","","","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","","","","","",""
"","","","","","2025.07.19","3","10","","","","1","2","","","","","",""
"බස්නාහිර පලාත","","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","4","14","1","0","0","1","3","0","0","0","0","0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","4","14","1","0","0","1","3","0","0","0","0","0",""
"","","","Elapatha","","2025.07.19","1","4","","","","","1","","","","","",""
"","","රත්නපුර","","","","","","","","","","","","","","","",""
"","2",",uj;jpdGhp","Balangoda","Tree Fallen","2025.07.19","3","13","","","","","3","","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","","","","",""
"","","Rathnapura","","","","","","","","","","","","","","","",""
"rg;ufKt","","","Kalawana","","2025.07.19","1","2","","","","","1","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","5","19","0","0","0","0","5","0","0","0","0","0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","5","19","0","0","0","0","5","0","0","0","0","0",""
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","9","33","1","0","0","1","8","0","0","0","0","0",""
