"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2024-01-13",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","31","24","95","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","31","25","80","70","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","31","25","85","70","ප්‍රධාන වශයයන් වැසි රහිත"
"ගාල්ල","29","25","90","75","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යාපනය","31","24","85","75","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","29","21","90","75","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","20","13","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","32","23","95","65","ප්‍රධාන වශයයන් වැසි රහිත"
"ත්‍රිකුණාමලය","31","26","80","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","31","26","80","70","ප්‍රධාන වශයයන් වැසි රහිත"
