"","","","","Page 3","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Opanayake","High wind","2020.11.16","5","22","","","","1","","4","","","","",""
"","Rock Fallen","2020.11.13","1","4","","","","","","1","","","","",""
"","Cutting Faliure","2020.11.13","1","3","","","","","","1","","","","",""
"Kolonna","","","","","","","","","","","","","","",""
"","High wind","2020.11.15","3","16","","","","","","3","","","","",""
"","Heavy Rain & High Wind","2020.11.16-18","4","15","","","","","","4","","","","",""
"Pelmadulla","High wind","2020.11.11","2","6","","","","","","2","","","","",""
"Nivithigala","Lightning","2020.11.15","1","5","","","","","","1","","","","",""
"Kiriella","High wind","2020.11.17","1","4","","","","","","","","","","",""
"","Landslide","2020.11.18","2","10","","","","","","2","","","","",""
"Balangoda","","","","","","","","","","","","","","",""
"","Heavy Rain","2020.11.18","6","27","","","","","","5","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","36","152","0","0","0","2","","31","0","0","0","0","0"
"Warakapola","High wind","2020.11.18","3","9","","","","","","3","","","","",""
"කෑෙල්ල 
Mawanella","Collapse of Wall","2020.11.16","1","2","","","","","","1","","","","",""
"10
Nffhiy","","","","","","","","","","","","","","",""
"Kegalle","Lightning","2020.11.18","3","13","","","","","","3","","","","",""
"Ruwanwella","","","","","","","","","","","","","","",""
"","Cutting Faliure","2020.11.18","1","5","","","","","-","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","8","29","0","0","0","0","","7","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","44","181","0","0","0","2","","38","0","0","0","0","0"
"බදුල්ල gJs;is","","","","","","","","","","","","","","",""
"12
Haputale","Landslide Risk","","36","156","","","","","","","","","1","36","156 Galkanda Tamil Vidyalaya"
"Badulla","","","","","","","","","","","","","","",""
