"Mahawewa","1410","4873","","","","","210","122","78","","",""
"Dankotuwa","18","68","","","","5","7","6","","","",""
"Mundalama","62","239","","","","4","55","3","54","","",""
"ගං වතුර","","","","","","","","","","","",""
"Arachchikattuwa","453","1505","","","","3","2","","1","","",""
"nts;sk;","2018.05.21","","","","","","","","","","",""
"Flood
Pallama","299","1114","","","","3","33","176","9","","",""
"","","","","","","","","","","","","One person deid due"
"Karuwalagaswewa","183","561","1","","","","8","5","","","",""
"","","","","","","","","","","","","to lightning"
"","148","491","","","","2","12","29","11","","",""
"Anamaduwa","","","","","","","","","","","",""
"Fire","2018.06.02
1","2","","","","","1","","","","",""
"පුත්තලම","","","","","","","","","","","",""
"18
Nattandiya","3199","11856","","","","30","366","176","59","","",""
"Gj;jsk; Puttalam","","","","","","","","","","","",""
"Chilaw","1522","6015","","","","","1","1","","","",""
"Wanathavilluwa","39","180","","","","","40","","","","",""
"Puttalama","60","219","","","","10","23","2","","","",""
"ගං වතුර","","","","","","","","","","","","One constable miss"
"Madampe","800","2769","1","","","","115","32","57","","",""
"nts;sk;","2018.05.21","","","","","","","","","","","due to Drowning"
"Flood
Mahakumbukkadawala","97","338","","","","2","16","3","3","","",""
"Wennappuwa","419","1478","","","","","11","40","9","","",""
"","","","","","","","","","","","","One person deid due"
"Kalpitiya","129","570","1","","","","85","","","","",""
"","","","","","","","","","","","","to lightning"
"Nawagatthegama","12","34","","","","","","","1","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","8851","32312","3","0","0","59","985","595","282","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","14715","52034","6","3","0","102","1261","681","284","0","0","0"
"අකුණුගැසීම","","","","","","","","","","","","Two persons deid due"
"Welikanda","2018.05.21
3","10","2","","","","","","","","",""
"kpd;dy;  Lightning","","","","","","","","","","","","to lightning"
"","","","","","","","","","","","","207 - Manampitiya GN"
"Drought","2018.06.01
30","120","","","","","","","","","",""
"","","","","","","","","","","","","Divition"
"","","","","","","","","","","","","240 - Kandegama GN"
"ලපොලලොන්නරුව","2018.05.25
1","5","","","","1","","","","","",""
