"","අකුණුගැසීම","","","","","","","","","","","",""
"","","6","17","","","","","6","","","","",""
"Tangalla","kpd;dy;/ Lightning","","","","","","","","","","","",""
"","High Wind","3","8","","","","1","4","","","","",""
"","Tree Fallen","4","14","","","","","3","","","","",""
"","නායයෑම් /ඉවුරු කඩා","","","","","","","","","","","",""
"","වැටීම  kz;rhpT/","","","","","","","","","","","",""
"","","4","16","","","","","4","","1","","",""
"","Landslide Cutting","","","","","","","","","","","",""
"","","2018.05.20/22","","","","","","","","","","",""
"Katuwana","Failure","","","","","","","","","","","",""
"දකුනු","","","","","","","","","","","","",""
"","දැඩි වර්ෂාව","","","","","","","","","","","",""
"පලාත/njd; 
හම්බන්ලතොට","","","","","","","","","","","","",""
"","fLk; kio","2","5","","","","","2","","","","",""
"12
`k;ghe;Njhl;il
khfhzk;/","","","","","","","","","","","","",""
"","Heavy Rain","","","","","","","","","","","",""
"Hambantota
Southern","","","","","","","","","","","","",""
"","","8","22","","","","1","7","","","","",""
"Okewala","High Wind","4","11","","","","","4","","","","",""
"","","8","17","","","","","8","","","","",""
"Beliaththa","","","","","","","","","","","","",""
"","අකුණුගැසීම","","","","","","","","","","","",""
"","","2018.05.28
1","","","","","","1","","","","",""
"","kpd;dy;/ Lightning","","","","","","","","","","","",""
"Hambanthota","","2018.05.25
3","12","","","","","2","","","","",""
"Angunakolapelessa","High Wind","2018.05.27
1","4","","","","","1","","","","",""
"Weeraketiya","","2018.05.29
3","14","","","","","3","","1","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","47","140","0","0","0","2","45","0","2","0","0","0"
"Kirinda","","11","49","","","","","11","","","","",""
"Devinuwara","","11","33","","","","","11","","","","",""
"Kotapola","","13","44","","","","1","12","","","","",""
"Akuressa","","2","8","","","","","2","","","","",""
"","දැඩි වර්ෂාව","","","","","","","","","","","",""
"Thihagoda","fLk;kio Heavy","9","31","","","","","9","","","","",""
"මාතර","Rain / දැඩි සුලග","2018.05.20/29","","","","","","","","","","",""
"Walipitiya
13","","5","20","","","","1","4","","","","",""
"khj;jiw Matara","fLk; fhw;W  High","","","","","","","","","","","",""
"Hamkmana","","40","155","","","","","40","","","","",""
"","Wind","","","","","","","","","","","",""
"Athuraliya","","6","26","","","","1","5","","","","",""
"Pitabeddara","","3","13","","","","","3","","","","",""
"Malimbada","","2","10","","","","2","","","","","",""
"Pasgoda","","30","78","","","","","30","","","","",""
"Kamburupitiya","Fire","2018.06.05
1","6","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","133","473","0","0","0","5","128","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","682","2577","1","1","0","17","412","20","2","0","0","0"
"Kalutara","","14","57","","","","","5","","","","",""
"Bandaragama","","94","366","","","","","16","2","","","",""
"Mathugama","","106","420","","","","1","8","1","","","",""
"Walallawita","","118","440","","","","6","39","","","","",""
"Dodangoda","","32","127","","","","","10","","","","",""
"Palinda Nuwara","","80","296","","","","1","1","","","","",""
"Horana","","147","509","","","","","78","","","","",""
"","නායයෑම් හා ගං වතුර","","","","","","","","","","","",""
"Agalawatta
Western/","kz;rhpT/","24","93","","","","","8","","","","",""
"කළුතර","","2018.05.20","","","","","","","","","","",""
"Nky;","Landslide / Flood","","","","","","","","","","","",""
"14
fSj;Jiw","","","","","","","","","","","","","One person deid due"
"Millaniya","","251","938","1","","","","5","1","","","",""
"khfhzk/","nts;sk;","","","","","","","","","","","",""
"Kalutara","","","","","","","","","","","","","to Lighting"
"බස්නාහිර","","","","","","","","","","","","",""
"Bulathsinghala","","201","794","","","","","21","","","2","18","49"
"පලාත","","","","","","","","","","","","",""
"Madurawala","","395","1615","","","","","11","1","","","",""
"","","","","","","","","","","","","","one person deid due"
"Ingiriya","","79","301","1","","","","6","","","","",""
"","","","","","","","","","","","","","to Drowning"
"Beruwala","","33","161","","","","","11","","","","",""
"Panadura","","6","30","","","","","6","","","","",""
"Bulathkohupitiya","Tree Fallen","6/5/2018
1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","1581","6151","2","0","0","8","226","5","0","2","18","49"
