"","Weather Forecast for Main Cities","","","","8-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","27","95","40","Mainly fair"
"Batticaloa","33","26","90","70","Mainly fair"
"Colombo","34","27","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","27","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","36","26","85","50","Showers or thundershowers are likely after 2.00p.m"
"Kandy","35","23","90","50","Mainly fair"
"Nuwara-Eliya","25","12","95","50","Mainly fair"
"Ratnapura","37","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","35","26","95","60","Mainly fair"
"Mannar","35","27","90","60","Showers or thundershowers are likely after 2.00p.m"
