"","Weather Forecast for Main Cities","","","Date :","6-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","60","Mainly fair"
"Batticaloa","31","25","90","70","Mainly fair"
"Colombo","31","24","90","70","Mainly fair"
"Galle","30","24","90","60","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","23","95","60","Mainly fair"
"Kandy","30","21","95","60","Mainly fair"
"Nuwara-Eliya","21","15","60","40","Mainly fair"
"Ratnapura","35","23","90","60","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","32","25","90","70","Mainly fair"
"Mannar","33","26","90","65","Mainly fair"
