"","Weather Forecast for Main Cities","","","","8-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","45","Mainly fair"
"Batticaloa","31","24","95","70","Mainly fair"
"Colombo","32","25","85","55","Showers or thundershowers are likely after 4.00p.m"
"Galle","31","23","90","65","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","24","95","55","Mainly fair"
"Kandy","32","22","90","55","Mainly fair"
"Nuwara-Eliya","22","11","90","45","Mainly fair"
"Ratnapura","34","23","95","50","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","33","23","95","65","Mainly fair"
"Mannar","33","24","90","60","Mainly fair"
