"","","","","","","","","","","","","","","","Damages","","","","","",""
"","","","Haldummulla","Landslide","2023.03.19","71","242","","","6","","","3","37","","","1","","71","","242 Safety center at Mahakanda"
"","","","","","","","","","","","","","","","","","","","","","Tea Factory"
"","","","Bandarawela","Heavy Rain","2023.03.18","35","136","","","","","","","35","","","","","","",""
"","","","Kandekatiya","Cutting failiture","2023.03.21","2","7","","","","","","","1","","","","","","",""
"","","බදුල්ල","Welimada","Heavy Rain","2023.03.21","1","4","","","","","","","1","","","","","","",""
"","1","gJs;is","","","","","","","","","","","","","","","","","","",""
"ඌව","","","Lunugala","Heavy Rain","2023.03.22","9","26","","","","","","","9","","","","","","",""
"","","Badulla","","","","","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","Meegahakiula","Heavy Rain & Wind","2023.03.23","2","7","","","","","","","2","","","","","","",""
"Uva","","","","","","","","","","","","","","","","","","","","",""
"","","","Uvaparanagama","Heavy Rain & Wind","2023.03.23","2","10","","","","","","","2","","","","","","",""
"","","","Badulla","Heavy rain","2023.03.23","2","9","","","","","","","2","","","","","","",""
"","","","Haliela","Drowning","2023.03.23","1","4","","2","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","125","445","","2","6","0","","3","89","0","0","1","","71","242",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","125","445","","2","6","0","","3","89","0","0","1","","71","242",""
"","","","","Heavy rain","2023.03.23","2","7","","","","","","","2","","","","","","",""
"","","","Balangoda","","","","","","","","","","","","","","","","","",""
"","","","","Lightning","2023.03.23","","","","1","","","","","","","","","","","",""
"","","","Opanayake","Heavy rain and Wind","2023.03.24","1","4","","","","","","","1","","","","","","",""
"","","රත්නපුර","Elapatha","Lightning/Wind","2023.03.23","3","13","","","","","","","3","","","","","","",""
"","2",",uj;jpdGhp","Kuruvita","High wind","2023.03.24","1","1","","","","","","","1","","","","","","",""
"","","Rathnapura","","","","","","","","","","","","","","","","","","",""
"","","","Weligapola","High wind","2023.03.23","1","4","","","","","","","1","","","","","","",""
"","","","Rathnapura","Heavy Rain","2023.03.23","2","2","","","","","","","2","","","","","","",""
"","","","Ibulpe","High Wind","2023.03.22","1","7","","","","","","","1","","","","","","",""
"","","","Kalawana","Lightning","2023.03.24","4","19","","","","","","","4","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","","","","","","","","","","","","","","","",""
"","","","","","","15","57","","1","0","0","","0","15","0","0","0","","0","0",""
"rg;ufKt","","","","","","","","","","","","","","","","","","","","",""
"","","","Deraniyagala","Lightning/Treefollan","2023.03.23","3","12","","","","","","","3","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","","","","",""
"","","","Dehiovita","Lightning","2023.03.23","1","4","","","","","","","1","","","","","","",""
"","","","Mawanella","Heavy rain","2023.03.23","16","60","","","","","","","16","","","","","","",""
"","","කෑගල්ල","","","","","","","","","","","","","","","","","","",""
"","","","Bulathkohupitiya","Heavy rain","2023.03.23","11","52","","","","","","","11","","","","","","",""
"","3","Nffhiy","","","","","","","","","","","","","","","","","","",""
"","","","Kegalle","High Wind","2023.03.23","6","25","","","","","","","6","","","","","","",""
"","","Kegalle","","","","","","","","","","","","","","","","","","",""
"","","","Rambukkana","High Wind","2023.03.23","7","24","","","","","","","7","","","","","","",""
"","","","Yatiyantota","High Wind","2023.03.23","4","20","","","","","","","4","","","","","","",""
"","","","Galigamuwa","High Wind","2023.03.23","3","11","","","","","","","3","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","51","208","","0","0","0","","0","51","0","0","0","","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","66","265","","1","0","0","","0","66","0","0","0","","0","0",""
"","","","Kebithigollewa","","2023.03.21","15","56","","","","","","1","3","","","","","","",""
"","","","","High Wind","","","","","","","","","","","","","","","","",""
"","","අනුරාධපුර","Kahatagasdigiliya","","2023.03.22","5","23","","","","","","","3","2","","","","","",""
"උතුරුමැද පලාත","4","m.Guk;","Nochchiyagama","Lightning","2023.03.22","1","4","","1","","","","","","","","","","","",""
"tlkj;jpa","","Anuradhapura","","","","","","","","","","","","","","","","","","",""
"","","","Palugaswewa","Lightning","2023.03.22","2","9","","","","","","","2","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","","","","",""
"","","","Galnewa","High Wind","2023.03.19","1","6","","","","","","","1","","","","","","",""
"North Central","","","","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","24","98","","1","0","0","","1","9","2","0","0","","0","0",""
