"","Weather Forecast for Main Cities","","","Date :","4-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","60","Mainly fair"
"Batticaloa","34","27","85","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","28","85","75","Several spells of showers"
"Galle","30","27","95","85","Several spells of showers"
"Jaffna","32","28","80","65","Mainly fair"
"Kandy","30","22","95","70","Several spells of showers"
"Nuwara-Eliya","21","15","90","75","Several spells of showers"
"Ratnapura","33","24","95","70","Several spells of showers"
"Trincomalee","36","26","85","55","Mainly fair"
"Mannar","31","28","90","75","A few showers"
