"","තත්ත්ල ලාර්තාල  - ශ්‍රී ඼ංකාල / epiyik mwpf;if - ,yq;if/  Situation Report- SriLanka","","","","","","","","","","","","",""
"දිනය /jpfjp / Date : 21st July 2019 at 1800hrs","","","","","","","","","","","","","",""
"","ලේකම් - රාජ්‍ය පරිපා඼න සහ ආපදා කළමනාකරණ අමාතයාං඾ය / சச஬யாரர், சபாது நிர்வாக ஫ற்றும் அனர்த்த முகாம஫த்துவ அம஫ச்சு / Secretary, Ministry of Public Administration & Disaster Management","","","","","","","","","","","","",""
"රාජ්‍ය පරිපා඼න සහ ආපදා කළමනාකරණ අමාතයාං඾ය ගරු අමාතයතුමාලේ පුද්ගලික ලේකම් /சகௌ஭வ பி஭மைக்கு தனி஬ார் சச஬யாரர் சபாது நிர்வாக ஫ற்றும் அனர்த்த முகாம஫த்துவ அம஫ச்சர் / Private Secretary to the Hon. Minister of Public Administration & Disaster Management","","","","","","","","","","","","","",""
"","","","","","","","","නිලාස හානි","","","","","",""
"","","","බ඼පෑමට ඼ක්වු","","","","","Nrjkile;j","","","","ආරක්ෂිත ස්ථාන ghJfhg;ghd","",""
"පරිපා඼න ප්‍රලද්඾ය நிர்வாகப் பிரிவு","","","","","","","","","","ලලනත් හානි பிம பாதிப்புகள்","","","",""
"Administrative purvie","","","ghjpf;fg;gl;l Affected","","","","අතුරුදහ","tPLfs; Houses","","Other Damages","","miktplk; Safe Location","",""
"","","","","","","තුලා඼වු","","","","","","","",""
"","","","","","","","න්වූ","Damaged","","","","","",""
"","","","","","","පුද්ග඼යි","","","","","","","",""
"","","","","","","","පුද්ග඼යි","","","","","","",""
"","","ආරම්භක දිනය","","","","න්","","","","","","","",""
"","","","","","","","න්","","","","","","",""
"පළාත","ආපදාල","mdu;j;jk;","","","මිය යෑම්","fhaki","","","","කුඩා හා මධය","ඉතා ලැදගත්","","","ලලනත් කරුණු"
"","","","","","","","","","","","","ආරක්ෂිත","",""
"","","","","","","","fhzh","","","","","","",""
"khfhzk; 
#","mdHj;jk;","Muk;gpj;j jpfjp","","","kuzq;fs;","le;NjhH","","","අර්ධ","පරිමාණ ලයාපාරික","යටිත඼ පහසුකම්","","","NtW Fwpg;Gf;fs;"
"","","","","","","","ky;Ngh","","","","","ස්ථාන","",""
"","","","","","","","","","","","","","පවුේ",""
"Province","Disaster","Date of","","","Deaths","","","පූර්ණ","හානි","ස්ථාන சிமி஬,","ල඼ට වූ හානි","සංඛ්‍යාල","","Remarks"
"ප්‍රා.ලේ. ලකො                
දිස්ත්‍රික්කය","","","පවුේ සංඛ්‍යාල","පුද්ග඼යින්","","","NdhH","","","","","","සංඛ්‍යාල","පුද්ග඼යින්"
"","","commenced","","","","Injured","","හානි","gFjpa","நடுத்த஭,","mbg;gilf;","vz;zpf;i","",""
"gpuNjr nra.gp","","","FLk;gq;fs;","egHfs;","","","Missin","","","","","","FLk;gq;","egHfs;"
"஫ாவட்டம்","","","","","","","","","sT","நிறுவனங்கரி","fl;likg;Gf;fs;","f   No.","",""
"","","","","","","","","KOik","","","","","",""
"District
DS Division","","","Families","People","","","g","","","ன் சசதங்கள்;","","","fs;","Persons"
"","","","","","","People","","Fully","Partiall","","Damages to","of Safety","",""
"","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","People","","","","","","Families",""
"","","","","","","","","","y","","critical","Location","",""
"","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","Damages","Infrastructure","s","",""
"","","2019.03.18","13","58","","","","","13","","","1","2","13 Pettigala"
"","","2019.04.26","30","109","","","","","30","","","1","23","80 Pettigala ground"
"","Landslide Risk","","","","","","","","","","","","",""
"Balangoda","","","","","","","","","","","","","","Heyaswatte Tamil"
"","","2019.04.26","9","34","","","","","","","","1","9","34"
"","","","","","","","","","","","","","","School- Kolonne"
"","High Wind","2019.07.18","64","253","","","","","64","","","","",""
"","Drought","2019.06.12","45","126","","","","","","","","","",""
"Imbulpe","","","","","","","","","","","","","",""
"","High Wind","2019.07.18","52","186","","","","","50","","","","",""
"","Drought","2019.06.12","3041","10464","","","","","","","","","",""
"Weligapola","","","","","","","","","","","","","",""
"","","","12","39","","","","2","10","","","","",""
"","High Wind","2019.07.18","","","","","","","","","","","",""
"Eheliyagoda","","","4","12","","","","","4","","","","",""
"Ayagama","High Wind","2019.07.18","8","36","","","","1","7","","","","",""
"Elapatha","High Wind","2019.07.18","22","78","","","","","19","","","","",""
"Kahawatte","High Wind","2019.07.18","9","38","","","","1","8","","","","",""
"රත්නපුර","High Wind","2019.07.18","8","27","","","","","8","","","","",""
"Nivithigala","","","","","","","","","","","","","",""
"1
,uj;jpdGhp","Cutting Faliure","2019.07.18","1","5","","","","","1","","","","",""
"Rathnapura","","","","","","","","","","","","","",""
"","Flood","2019.07.18","25","115","","","","","25","","","","",""
"","Lightning","2019.07.18","1","4","","","","","1","","","","",""
"Pelmadulla","","","","","","","","","","","","","",""
"","Tree Fallen","2019.07.18","6","22","","","","1","5","","","","",""
"","High Wind","2019.07.18","9","39","","","","2","7","","","","",""
"Kiriella
සබරගමුල ප඼෈ත","High Wind","2019.07.18","21","96","","","","","20","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"Kalawana","Tree Fallen","2019.07.18","8","35","","","","","7","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","",""
"","Cutting Faliure","2019.07.18","8","33","","","","","3","","","","",""
"","","","","","","","","","","","","","","Amunuthenna"
"","Landslide Risk","2019.07.18","94","324","","","","","10","","","1","2","11"
"Ratnapura","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Temple"
"","High Wind","2019.07.18","17","67","","","","1","15","","","","",""
"","Flood","2019.07.18","190","724","","","","","13","","","","",""
"Godakawela","","","7","26","","","","","6","","","","",""
"Kuruvita","","","15","62","","","","","15","","","","",""
"","High Wind","2019.07.18","","","","","","","","","","","",""
"Opanayaka","","","5","20","","4","","","3","","","","",""
"Kolonna","","","33","126","","","","","33","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","3757","13158","0","4","0","8","377","0","0","4","36","138"
"Kegalle","Drought","2019.07.02","160","500","","","","","1","","","","",""
"Warakapola","","","1","4","","","","","1","","","","",""
"Rabukkana","","","1","4","","","","","3","","","","",""
"Galigamuwa
ක්ගල්඼","","","3","13","","","","","3","","","","",""
"Nffhiy       
2
Bulathkohupitiya","","","3","8","","","","","4","","","","",""
"","High Wind","2019.07.18","","","","","","","","","","","",""
"Kegalle
Aranayaka","","","6","26","","","","","2","","","","",""
"Daraniyagala","","","1","6","","","","","1","","","","",""
