"","","Page 2","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Verugal","","","","","","","","","","2","70","213"
"Town & gravets","","","","","","","","","","9","75","276"
"Kantale","","","","","","","","","","5","112","377"
"Seruvila","","","","","","","","","","11","103","306"
"(Burevi) Cyclone","","","","","","","","","","","","Those families have been"
"ත්‍රීකුණොමලය","","","","","","","","","","","",""
"Morawewa","2","8","","","","","2","","","5","218","564
displaced inadvance of"
"6
jp.kiy","2020.12.02","","","","","","","","","","",""
"ැනෙ හිර පලොත 
Kuchchawele","2","7","","","","","2","","","14","260","cyclonicstrom threat as 
741"
"Trincomalee","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","preparatory measures."
"Kinniya","3","13","","","","","3","","","1","13","21"
"Eastern","","","","","","","","","","","",""
"Thambalagamuwa","","","","","","","","","","2","8","38"
"Flood","12","55","","","","","12","","","1","1","5"
"Pathavisripura","","","","","","","","","","","",""
"(Burevi) Cyclone","2","8","","","","","","","","2","4","17"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","21","91","0","0","0","0","19","0","0","52","864","2558"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","21","91","0","0","0","0","19","0","0","52","864","2558"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","3575","12252","0","4","1","15","192","9","0","79","2911","10336"
