"","Weather Forecast for Main Cities","","","Date :","15-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","20","90","50","Mainly fair"
"Batticaloa","30","22","90","60","Mainly fair"
"Colombo","32","24","90","60","Mainly fair"
"Galle","32","24","90","65","Mainly fair"
"Jaffna","33","18","95","60","Mainly fair"
"Kandy","32","17","95","45","Mainly fair"
"Nuwara-Eliya","22","8","55","20","Mainly fair"
"Ratnapura","36","22","95","50","Mainly fair"
"Trincomalee","30","23","85","60","Mainly fair"
"Mannar","31","22","85","65","Mainly fair"
