"","","","","","","","","","KOik","sT","","fl;likg;Gf;fs;","","","",""
"District
DS Division","","","Families","People","","","g","","","","சேதங்கள்; Small,","","f   No.","s;","Persons",""
"","","","","","","People","","","Fully","Partiall","","Damages to","","","",""
"","","","","","","","People","","","","Medium,","","of Safety","Families","",""
"","","","","","","","","","","y","","critical","","","",""
"","","","","","","","","","","","Enterprises","","Locations","","",""
"","","","","","","","","","","","Damages","Infrastructure","","","",""
"නුවරඑලිය 
Nuwaraeliya","","2020.08.11","35","125","","","","","24","","","","1","","35","125 Muththumari amman Kovil"
"1
Etnuypah","Fire","","","","","","","","","","","","","","",""
"Kothmale
Nuwara Eliya","","2020.08.18","1","1","","","","","","1","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","36","126","0","0","","0","24","1","0","0","1","","35","125"
"","Heavy Rain","2020.08.10","1","1","","","","","","1","","","","","",""
"","Tree Fallen","","2","9","","","","","","1","","","","","",""
"Udapalatha","","2020.08.18","","","","","","","","","","","","","",""
"","","","1","5","","","","","","1","","","","","",""
"මධයම  ලොත","Wall collapse","","","","","","","","","","","","","","",""
"","","2020.08.05","1","4","","","","","","1","","","","","",""
"kj;jpa khfhzk 
නුවර","","","","","","","","","","","","","","","",""
"Yatinuwara","Heavy Rain","2020.08.13","1","2","","","","","1","","","","","","",""
"Central
2
fz;b","","","","","","","","","","","","","","","",""
"Minepe","","2020.08.17","1","1","","","","","","1","","","","","",""
"Kandy","","","","","","","","","","","","","","","",""
"Delthota","","","1","6","","","","","","1","","","","","",""
"","","2020.08.18","","","","","","","","","","","","","",""
"Ududumbara","High Wind","","1","1","","","","","","1","","","","","",""
"Panwila","","2020.08.18","4","14","","","","","","4","","","","","",""
"Pathahewaheta","","2020.08.17","5","19","","","","","","5","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","18","62","0","0","","0","1","16","0","0","0","","0","0"
"ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","54","188","0","0","","0","25","17","0","0","1","","35","125"
"Welimada
බදුල්ල","Fire","2020.08.17","12","54","","","","","12","","","","1","","12","54"
"3
gJs;is","","","","","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","","","",""
"Megahakiula
Badulla","","2020.08.11","1","4","","","","","","1","","","","","",""
"Cth khfhzk;","High Wind","","","","","","","","","","","","","","",""
"Uwaparanagama","","2020.08.18","1","4","","","","","","1","","","","","",""
"Uva","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","14","62","0","0","","0","12","2","0","0","1","","12","54"
"ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","14","62","0","0","","0","12","2","0","0","1","","12","54"
"මඩකලපුව","","","","","","","","","","","","","","","",""
"4
Koralaipattu North
kl;lf;fsg;G  
නැපගනහිර  ලොත","High Wind","2020.08.17","1","5","","","","","","1","","","","","",""
"Batticaloa
fpof;F","","","","","","","","","","","","","","","",""
"Eastern
දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","5","0","0","","0","0","1","0","0","0","","0","0"
"ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","5","0","0","","0","0","1","0","0","0","","0","0"
"ප ොපලොන්නරුව","","","","","","","","","","","","","","","",""
"උතුරුමැද  ලොත 
5
Welikanda
nghyd;dWit","High Wind","2020.08.12","1","4","","","","","","1","","","","","",""
"tlkj;jpa","","","","","","","","","","","","","","","",""
"Polonnaruwa","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","4","0","0","","0","0","1","0","0","0","","0","0"
"North Central","","","","","","","","","","","","","","","",""
"ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","4","0","0","","0","0","1","0","0","0","","0","0"
"කෑගල්ල","","","","","","","","","","","","","","","",""
"6
Galigamuwa
Nffhiy  
සබරගමුව  ලොත","Tree Fallen","2020.08.11/15","2","7","","","","","","2","","","","","",""
"Kegalle
rg;ufKt","","","","","","","","","","","","","","","",""
"Sabaragamuwa
දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","7","0","0","","0","0","2","0","0","0","","0","0"
"ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2","7","0","0","","0","0","2","0","0","0","","0","0"
"යො නය","","","","","","","","","","","","","","","",""
"7
Chankanai
aho;g;ghzk; 
උතුරු  ලොත","High Wind","2020.08.20","1","3","","","","","","1","","","","","",""
"Jaffna
tl khfhzk;","","","","","","","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","3","0","0","","0","0","1","0","0","0","","0","0"
"ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","3","0","0","","0","0","1","0","0","0","","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","73","269","0","0","","0","37","24","0","0","2","","47","179"
