"නුවරඑලිය 
Ambaguwa
Tree Fallen","","2","7","","","","","2","","","","",""
"10
Etnuypah","2023.09.04","","","","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","",""
"Kothmale
Heavy Wind
Nuwara Eliya","","1","7","","","","","1","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","",""
"Central
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","3","14","0","0","0","0","3","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","3","14","0","0","0","0","3","0","0","0","0","0"
"Vavuniya North","2023.09.01","1","4","","","","","1","","","","",""
"වව්නියාව","","","","","","","","","","","","",""
"11
High Wind
tTdpah  
Vavuniya","","1","5","","","","","1","","","","",""
"උතුරු පලාත","","","","","","","","","","","","",""
"","2023.09.03","","","","","","","","","","","",""
"Vavuniya","","","","","","","","","","","","",""
"Vavuniya South
tl khfhzk;","","3","10","","","","","3","","","","",""
"Northen","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","5","19","0","0","0","0","5","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","5","19","0","0","0","0","5","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","1595","5806","0","1","0","0","153","3","1","0","0","0"
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
