"","","","","","","","","","","","","","","","","",""
"","","යොපනය","","","","","","Page 2","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","7","aho;g;ghzk;","Karaveddy","Drought","2020.07.06","232","632","","","","","","","","","",""
"","","Jaffna","","","","","","","","","","","","","","",""
"උතුරු පලොත","","","","","","","","","","","","","","","","",""
"tl khfhzk","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","232","632","0","0","0","0","0","0","0","0","0","0"
"Northen","","","Nanattan","","","262","768","","","","","","","","","",""
"","","මනනොරම","Musali","","","3260","12810","","","","","","","","","",""
"","8","kd;dhH","","Drought","2020.07.07","","","","","","","","","","","",""
"","","Mannar","Manthai West","","","5623","20500","","","","","","","","","",""
"","","","Madhu","","","237","727","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","9382","34805","0","0","0","0","0","0","0","0","0","0"
