"","Weather Forecast for Main Cities","","","Date :","18-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","22","95","70","Showers or thundershowers at times"
"Batticaloa","33","26","90","70","Showers or thundershowers after 2.00p.m"
"Colombo","30","25","90","75","Showers or thundershowers at times"
"Galle","30","24","90","80","Showers or thundershowers at times"
"Jaffna","32","23","95","75","Showers or thundershowers at times"
"Kandy","29","22","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","19","14","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","29","23","95","80","Showers or thundershowers at times"
"Trincomalee","33","23","95","65","Showers or thundershowers after 2.00p.m"
"Mannar","32","23","95","75","Showers or thundershowers at times"
