"","","Drought","2019.04.08","340","1530","","","","",""
"","Buttala","","","","","","","","",""
"","","High Wind","2019.04.24,27,29","31","112","","","","","31"
"","Bibila","Lightning/High Wind","2019.04.17,28","7","32","","","","","7"
"","ලමානරාගල","","","","","","","","",""
"24","Madulla
nkhdwhfiy","","2019.04.17","1","4","","","","","1"
"ඌව","","","","","","","","","",""
"Cth khfhzk","Moneragala
Badalkumbura","","2019.04.15,19,28","12","52","","","","","12"
"","","High Wind","","","","","","","",""
"Uva","Sewanagala","","2019.04.17,29","9","34","","","","","9"
"","Monaragala","","2019.04.28","9","13","","","","","9"
"","Medagama","Lightning/High Wind","2019.04.28,29","6","25","","","","","6"
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","415","1802","0","0","0","0","75"
