"න්‍ රය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","32","24","90","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","33","25","90","55","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"හකාළඹ","30","26","90","70","සිහින් වැසි වාර කිහිපයක්"
"ගාල්ල","29","25","90","80","සිහින් වැසි වාර කිහිපයක්"
"යාපනය","31","27","90","75","වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ම නුවර","28","21","95","65","සිහින් වැසි වාර කිහිපයක්"
"නුවරඑළිය","19","13","95","75","සිහින් වැසි වාර කිහිපයක්"
"රත්නපුරය","32","23","95","65","සිහින් වැසි වාර කිහිපයක්"
"ිකුණාමලය","34","25","80","50","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
