"මධ්‍යම","","","","","","","","","","","","","","","","",""
"පලාත/","","","","","","","","","","","","","","","","",""
"kj;jpa","","","","","","","","","","","","","","","","",""
"","","","ායයෑම් අවදා ම","","","","","","","","","","","","","",""
"","","Nuwaraeliya","","2018.05.21/31","213","987","","3","","8","111","","","1","6","","24 Bolmor tamil school"
"khfhzk;/","","","","","","","","","","","","","","","","",""
"","නුවරඑලිය","","/ඉවුරු කඩා වැටීම","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","5
Etnuypah","","kz;rhpT/","","","","","","","","","","","","","","Masswela Gemunu Maha"
"","Nuwara Eliya","Kothmale","Landslide Risk","2018.05. 21/29","229","835","","","","1","66","","","2","18","52","Vidyalaya / Dakunumeda"
"","","","Cutting Failure","","","","","","","","","","","","","","kumbura hall"
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","442","1822","0","3","0","9","177","0","0","3","24","76",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","704","3002","0","6","0","11","210","1","1","4","33","121",""
"","","","Rock Fallen      ගල්","","","","","","","","","","","","","",""
"","","Ehaliyagoda","","2018.05.12","16","52","","","","","","","","1","3","","10 Safe Location - Karandna"
"","","","නපරලීම්","","","","","","","","","","","","","","k. Viduhala"
"","රත් පුර","","දැඩි සුලග සහ දැඩි","","","","","","","","","","","","","",""
"සබරගමුව","","","","","","","","","","","","","","","","","R/Madyakanda Tamil"
"","6
,uj;jpdGhp","","වර්ෂාව/fLk;","","","","","","","","","","","","","",""
"පලාත/rg;uf","","","","","","","","","","","","","","","","","School & Madyakanda"
"","Rathnapura","","kioAk;","","","","","","","","","","","","","",""
"Kt/","","Balangoda","","2018.06.11","49","187","","","","","30","","","4","19","81","Estate Hospital / uper"
"","","","fhw;Wk;/Heavy","","","","","","","","","","","","","","Balangoda quarters / Uper"
"Sabaragam","","","","","","","","","","","","","","","","",""
"","","","Rain and High","","","","","","","","","","","","","","Balangoda church"
"uwa/","","","","","","","","","","","","","","","","",""
"","","","Wind","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","65","239","0","0","0","0","30","0","0","5","22","91",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","65","239","0","0","0","0","30","0","0","5","22","91",""
"","","Galgamuwa","","","516","1849","","","","","","","","","","",""
"","කුරුණෑගල","Ambanpola","Drought","2018","1687","5243","","","","","","","","","","",""
"","7
FUdhfy;","Giribawa","","","2523","7063","","","","","","","","","","",""
"","Kurunegala","Paduwasnuwara West","","","10","35","","","","","10","6","","","","",""
"","","","High wind","2018.06.19","","","","","","","","","","","","",""
"","","Kuliyapitiya West","","","82","301","","3","","","82","27","","","","",""
"වයඹ","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","4818","14491","0","3","0","0","92","33","0","0","0","0",""
"පලාත/tlNk","","","","","","","","","","","","","","","","",""
"y;","","","","","","","","","","","","","","","","","one person death due to"
"khfhzk;/","","","Drowning","2018.06.16","","","1","","","","","","","","","","drowning in"
"","","Mahakubukkadawala","","","","","","","","","","","","","","","kawayankulam weva"
"North","පුත්තලම","","","","","","","","","","","","","","","",""
"","8","","","","","","","","","","","","","","","",""
"Western/","Gj;jsk; Puttalam","","දැඩි සුලග","","1","4","","","","","1","","","","","",""
"","","Karuwalagaswewa","fLk; kioAk;","2018.06.09/10/11","3","16","","","","","3","","","","","",""
"","","Anamaduwa","High Wind","","2","10","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","6","30","1","0","0","0","4","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","4824","14521","1","3","0","0","96","33","0","0","0","0",""
"","නපොනලොන් රුව","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","207 - Manampitiya GN"
"","9
nghyd;dWit","Dimbulagala","Drought","2018.06.01","30","120","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Divition"
"උතුරුමැද","Polonnaruwa","","","","","","","","","","","","","","","",""
"පලාත/tlkj;","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","30","120","0","0","0","0","0","0","0","0","0","0",""
"jpa","","","","","","","","","","","","","","","","",""
"khfhzk;/","අනුරාධ්‍පුර","Mahavilachchiya","","","2949","8810","","","","","","","","","","",""
"North","10
m.Guk;","","Drought","9/20/2016","","","","","","","","","","","","",""
"Central/","Anuradhapura","Nochchiyagama","","","395","1215","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","3344","10025","0","0","0","0","0","0","0","0","0","0",""
