"Missing in the","","","","","","","","","","","",""
"Pottuvil","2018.06.02
3","5","","","3","","","","","","",""
"Marine","","","","","","","","","","","",""
"Uhana","87","327","","","","5","82","","","","",""
"Sainthamaruthu","55","224","","","","6","49","1","","","",""
"Sammanthurai","22","90","","","","2","17","3","","","",""
"අම්පාර","","","","","","","","","","","",""
"Thirukkovil
11
mk;ghiw","21","72","","","","2","18","","","","",""
"Ampara
දැඩි සුලග","","","","","","","","","","","",""
"Kalmunai Tamil","62","253","","","","","62","","","","",""
"fLk; kioAk;","2018.06.17","","","","","","","","","","",""
"Kalmunai
High Wind","96","377","","","","","96","3","","","",""
"ැනග හිර","","","","","","","","","","","",""
"Navidenveli","6","20","","","","","6","","","","",""
"පලාත/fpof;F","","","","","","","","","","","",""
"/Eastern","","","","","","","","","","","",""
"Ampara","30","114","","","","","28","","","","",""
"Karaitivu","1","4","","","","","1","","","","",""
"Damana","27","92","","","","","27","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","410","1578","0","0","3","15","386","7","0","0","0","0"
"Eravur Pattu
High Wind
මඩකලපුව","15","46","","","","","15","","","","",""
"kl;lf;fsg;G 
12","2018.06.17","","","","","","","","","","",""
"","","","","","","","","","","","","one person death due to"
"Manmunai South & EP
Lightning
Batticaloa","2","7","1","","","","1","","","","",""
"","","","","","","","","","","","","lightning"
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","17","53","1","0","0","0","16","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","427","1631","1","0","3","15","402","7","0","0","0","0"
"හම්බන්නතොට","","","","","","","","","","","",""
"දැඩි සුලග/fLk; 
දකුනු","","","","","","","","","","","",""
"13
Beliatta
`k;ghe;Njhl;il","2018.06.19
1","3","","","","","1","","","","",""
"fhw;W/High Wind","","","","","","","","","","","",""
"පලාත/njd; 
Hambantota","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","",""
