"","දිස්ත්‍රික්කය","","","","","හානි"
"","","gpuNjr nra.gp     DS","","FLk;gq;fs;","People
egHfs;","People
gFjpasT"
"","மாவட்டம் District","","","","","KOik"
"","","","","Families","People","Partially"
"","","Division","","","","Fully"
"","","Rathnapura","","71","281","26"
"","","Ayagama","","23","72
1","9"
"","","Kolonna","","8","26","8"
"","","Godakawela","","17","71","1
13"
"","","Nivithigala","","10","28","10"
"","","Kahawatta","","11","39","11"
"","","Eheliyagoda","","6","25","6"
"","රත්නපුර","Elapatha","Tree Fallen/Cutting","82","306","10"
"","","","2023.09.27 to","","",""
"1","uj;jpdGhp","Kuruvita","Failure Risk/Heavy","41","162","13"
"","","","2023.10.08","","",""
"","Rathnapura","Kalawana","Rain/Flood","12","40","6"
"","","Pelmadulla","","15","61","1
14"
"","","Opanayake","","7","22","4"
"","","Kiriella","","26","98","1
5"
"","","Weligepola","","2","10","1"
"","","Balangoda","","2","7","2"
