"","Families","People","","","","","Partially","சேதங்கள்; Small,","","Damages to","","f   No.","s;","","Persons"
"Division","","","","","","Fully","","","","","","","","",""
"","","","","","","","","Medium,","","critical","","of Safety","Families","",""
"","","","","","","","","Enterprises","","Infrastructure","","Locations","","",""
"","","","","","","","","Damages","","","","","","",""
"Nivithigala
රත්නපුර","2","8","","","","","2","","","","","","","",""
"1
High Wind
,uj;jpdGhp 
Kalawana","2023.03.12
2","10","","","","","2","","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","",""
"Eheliyagoda","3","13","","","","","3","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","7","31","0","0","0","0","7","","0","","0","0","","0","0"
"සබරගමුෙ පලාත","","","","","","","","","","","","","","",""
"rg;ufKt 
කෑගල්ල","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"Nffhiy","","","","","","","","","","","","","","",""
"Kegalle","","","","","","","","","","","","","","",""
"","3","12","0","0","0","2","1","","0","","0","0","","0","0"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","10","43","0","0","0","2","8","","0","","0","0","","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","10","43","0","0","0","2","8","","0","","0","0","","0","0"
