"","","","","","Page 2","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","Bibila","","","62","183","","","","","5","","","1","62","183"
"","Katharagama","","","432","1575","","","","","10","","","5","432","1575"
"","Siyambalanduwa","","","16","72","","","","","16","","","1","16","72"
"","Thanamalvila","","","25","85","","","","","25","","","","",""
"","ගමානරාෙල","","","","","","","","","","","","","",""
"2","nkhdwhfiy 
Buththala","Flood","2019.12.21","91","336","","","","","43","","","1","8","30"
"","Moneragala","","","","","","","","","","","","","",""
"","Monaragala","","","299","901","","","","4","51","","","1","75","340"
"","Medagama","","","14","43","","","","","5","","","1","14","43 Death Due to Drawning"
"","Badalkumbura","","","26","119","","","","","","","","1","26","119"
"","Wellawaya","","","8","36","","","","","8","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","973","3350","0","0","0","4","163","0","0","11","633","2362"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","1623","5915","0","6","0","15","465","0","0","28","960","3670"
"","Manmunai North","","2019.12.18","2","7","","","","1","1","","","","",""
"","Koralaipattu West","","2019.12.22","756","2712","","","","","","","","1","62","220"
"","Koralaipattu North","","2019.12.21","36","99","","","","","","","","","",""
"","මඩකලපුව","","","","","","","","","","","","","",""
"","Koralaipattu Central","","2019.12.19","288","896","","","","","","","","4","267","848"
"3","kl;lf;fsg;G","Flood","","","","","","","","","","","","",""
"","Koralaipattu","","2019.12.21","40","125","","","","","","","","1","40","125"
"","Batticaloa","","","","","","","","","","","","","",""
"","Eravur Pattu","","2019.12.18","3517","11955","","","","","","","","8","716","2185"
"","Manmunai West","","2019.12.21","279","954","","","","","1","","","","",""
"","Manmunai south west","","2019.12.18","2","7","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4920","16755","0","0","0","1","4","0","0","14","1085","3378"
"","Pothuvil","","","1306","4678","","","","","","","","","",""
"","Lahugala","","","2668","7959","","","","2","2","","","1","1","5"
"නැගෙනහිර පලාත","","","","","","","","","","","","","","",""
"","Mahaoya","","","1006","3490","","","","","","","","","",""
"fpof;F     Eastern","","","","","","","","","","","","","","",""
"","Dehiattakandiya","","","77","279","","","","9","68","","","","",""
"","Ninthavur","","","7","35","","","","","1","","","","",""
"","අම්පාර       mk;ghu","","","","","","","","","","","","","","Missing due to"
"4","Ampara","Flood","2019.12.20","9","22","","","1","","9","1","","","",""
"","Ampara","","","","","","","","","","","","","","Drawning"
"","Damana","","","2","10","","","","2","","","","","",""
"","Uhana","","","51","169","","","","","51","","","","",""
"","Padiyathalawa","","","53","175","","","","2","51","","","","",""
"","Kalmunai North","","","5","14","","","","","5","","","","",""
"","Irakkamam","","","1","5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","5185","16836","0","0","1","15","188","1","0","1","1","5"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","10105","33591","0","0","1","16","192","1","0","15","1086","3383"
"","Pasbagekorale","High Wind","2019.12.20","1","3","","","","","","","","","",""
"","Kundasale","Cutting Failure","2019.12.20","15","51","","","","","1","","","","",""
"","","Heavy Rain","2019.12.21","2","9","","","","","","","","","",""
"","Minipe","High wind","2019.12.20","37","139","","","","","1","","","1","33","126 Thorapitiya Temple"
"","මහනුවර","","","","","","","","","","","","","",""
"","Panvila","","2019.12.19","14","55","","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"5","fz;b","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","Pathadumbara","","2019.12.20","3","11","","","","","2","","","","",""
"","Kandy","","","","","","","","","","","","","",""
"Centra","Delthota","Landslide Risk","2019.12.20","5","19","","","","","5","","","","",""
"","Medadumbara","","2019.12.21","2","9","","","","","2","","","","",""
"","Thumpane","","2019.12.20","1","4","","","","","1","","","","",""
"","Akurana","Cutting Failure","2019.12.20","1","3","","","","","","","","","",""
"","Ududumbara","Landslide Risk","2019.12.20","16","62","","","","1","3","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","97","365","0","0","0","1","15","0","0","1","33","126"
