"","Weather Forecast for Main Cities","","","","23-Jul-2023"
"","Temperature (0C)","","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","85","45","Mainly fair"
"Batticaloa","37","26","75","40","Mainly fair"
"Colombo","31","25","85","70","A few showers"
"Galle","29","24","90","80","Several spells of light showers"
"Jaffna","33","27","80","60","Mainly fair"
"Kandy","29","23","80","55","Several spells of showers"
"Nuwara-Eliya","19","13","90","70","Several spells of showers"
"Ratnapura","32","25","85","60","Several spells of showers"
"Trincomalee","38","27","85","40","Mainly fair"
"Mannar","32","26","85","75","Mainly fair"
"","ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය","","","","2023-07-23"
"","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)","",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","35","25","85","45","ප්‍රධාන වශවයේ වැසි රහිත"
"මඩකලපුව","37","26","75","40","ප්‍රධාන වශවයේ වැසි රහිත"
"වකාළඹ","31","25","85","70","වැසි ස්වල්පයක්"
"ගාල්ල","29","24","90","80","සිහිේ වැසි වාර කිහිපයක්"
"යාපනය","33","27","80","60","ප්‍රධාන වශවයේ වැසි රහිත"
"මහනුවර","29","23","80","55","වැසි වාර කිහිපයක්"
"නුවරඑළිය","19","13","90","70","වැසි වාර කිහිපයක්"
"රත්නපුරය","32","25","85","60","වැසි වාර කිහිපයක්"
"ිකුණාමලය","38","27","85","40","ප්‍රධාන වශවයේ වැසි රහිත"
"මේනාරම","32","26","85","75","ප්‍රධාන වශවයේ වැසි රහිත"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","35","25","85","45","பிரதானமாக சீரான வானிலை"
"மட்டக்களப்பு","37","26","75","40","பிரதானமாக சீரான வானிலை"
"வகாழும் பு","31","25","85","70","சிறிதளவிை்  மலை பெய் யும்"
"காலி","29","24","90","80","அடிக்கடி சிறிதளவிை்  மலை பெய் யும்"
"யாழ் ப்பாணம்","33","27","80","60","பிரதானமாக சீரான வானிலை"
"கண் டி","29","23","80","55","அடிக்கடி மலை பெய் யும்"
"நுவவரலியா","19","13","90","70","அடிக்கடி மலை பெய் யும்"
"இரத்தினபுரி","32","25","85","60","அடிக்கடி மலை பெய் யும்"
"திருககாணமலை","38","27","85","40","பிரதானமாக சீரான வானிலை"
"மன் னார்","32","26","85","75","பிரதானமாக சீரான வானிலை"
