"","දිස්ත්‍රික්කය","","","","","","හානි",""
"","","","","","","People","People","நிறுவனங்களின்"
"","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","gFjpasT",""
"","மாவட்டம் District","","","","","","KOik",""
"","","","","","Families","People","Partially","சேதங்கள்; Small,"
"","","Division","","","","","Fully",""
"","","","","","","","","Medium,"
"","","","","","","","","Enterprises"
"","","","","","","","","Damages"
"","","Rathnapura","","","63","255","18",""
"","","Ayagama","","","15","51","2",""
"","","Kiriella","","","22","85","2","5"
"","","Godakawela","","","9","34","1
5",""
"","","Elapatha","","","78","294","6",""
"","","Kahawatta","","","6","21","6",""
"","රත්නපුර","Pelmadulla","Tree Fallen/Cutting","","11","48","11",""
"1","uj;jpdGhp","Kolonna","Failure Risk/Heavy","2023.09.27-30","5","15","5",""
"","Rathnapura","","Rain/Flood","","","","",""
"","","Opanayaka","","","3","11","",""
"","","Kuruwita","","","6","24","6",""
"","","Weligepola","","","2","10","1",""
"සබරගමුව පලාත","","","","","","","",""
"","","Kalawana","","","9","30","3",""
"rg;ufKt","","","","","","","",""
"Sabaragamuwa","","Eheliyagoda","","","6","25","6",""
"","","Nivithigala","","","6","18","6",""
"","","Balangoda","","","1","4","1",""
