"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","24","95","65","Several spells of showers"
"Batticaloa","30","25","95","75","Several spells of showers"
"Colombo","33","25","95","60","Showers or thundershowers"
"Galle","29","24","95","80","Showers or thundershowers"
"Jaffna","29","24","85","70","A few showers"
"Kandy","28","22","90","75","Several spells of showers"
"Nuwara-Eliya","17","15","95","85","Several spells of showers"
"Ratnapura","32","23","90","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","26","85","75","Several spells of showers"
"Mannar","30","26","85","70","A few showers"
