"","Weather Forecast for Main Cities","","","","2024-08-09"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","34","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","28","85","65","Several spells of light showers"
"Galle","31","27","90","80","Several spells of light showers"
"Jaffna","34","24","95","55","A few showers"
"Kandy","30","22","95","60","Several spells of light showers"
"Nuwara-Eliya","20","15","90","60","Several spells of light showers"
"Ratnapura","33","24","95","60","Several spells of light showers"
"Trincomalee","35","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","33","26","95","70","A few showers"
