"Rathnapura","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","1","3","0","0","0","0","1","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","2","7","0","0","0","0","2","0"
"Morawewa","4","13","","","","","4",""
"Kuchchaveli","8","23","","","","","7","1"
"Kinniya","3","11","","","","","3",""
"Muthur","6","20","","","","","3","3"
"ත්‍රීකුණාමලය","","","","","","","",""
"4
High Wind","2023.02.01","","","","","","",""
"jp.kiy 
Kanthale","6","21","","","","","6",""
"Trincomalee","","","","","","","",""
"Thambalakamam","1","3","","","","","1",""
