"","Weather Forecast for Main Cities","","","","2024-07-17"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","85","70","Mainly fair"
"Batticaloa","35","27","75","45","Mainly fair"
"Colombo","31","24","95","70","Several spells of showers"
"Galle","29","23","95","75","Showers at times"
"Jaffna","31","28","80","70","Mainly fair"
"Kandy","27","23","95","80","Showers at times"
"Nuwara-Eliya","17","14","95","80","Several spells of showers"
"Ratnapura","29","23","95","80","Showers at times"
"Trincomalee","33","27","80","60","Mainly fair"
"Mannar","32","28","80","70","Mainly fair"
