"","","","","","","","Page 3","","","","",""
"","","","Puttalama","","","20","74","","","","","3"
"","","","Madampe","","","1","7","","","","","1"
"","","පුත්තලම","","","","","","","","","",""
"","12","Gj;jsk;","Wanathawilluwa","High Wind","2020.12.03","1","2","","","","","1"
"වයඹ පලාත","","","","","","","","","","","",""
"","","Puttalam","","","","","","","","","",""
"tlNky;khfhzk","","","Kalpitiya","","","165","510","","","","",""
"North Western","","","","","","","","","","","",""
"","","","Karuwalagaswewa","","","1","1","","","","","1"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","188","594","0","0","0","0","6"
