"උතුරු පලාත","Kayts","","","287","1000","","","","43","1","",""
"tl khfhzk","Velanai","","","606","2145","","","","15","","8
274
974",""
"Northen","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","9346","31703","0","6","1","48
1826","277
13","32
879
3189",""
"","Karachchi","","","148","527","","","","29","4","",""
"","කිලිනනාච්චිය 
Kandawalai","","","243","655","","","","6","","",""
"3","fpspnehr;rp","(Burevi) Cyclone","2020.12.02","","","","","","","","",""
"","Poonakary
Killinochchi","","","431","1223","","","","1
68","","2
88
131",""
"","Pachchilaipallal","","","106","384","","","","33","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","928","2789","0","0","0","1
136","0
4","2
88
131",""
"","Maritimepattu","","","123","427","","","","1","","4
130
444",""
"","Puthukkudiyiruppu","","","7","12","","","","","","",""
"","මුලතිව්","","","","","","","","","","",""
"","Oddusuddan","","","16","50","","","","","","",""
"4","Ky;iyj;jPT","(Burevi) Cyclone","2020.12.02","","","","","","","","",""
"","Thunukkai
Mulaitivu","","","190","453","","","","","","",""
"","Manthai East","","","43","129","","","","","","",""
"","Welioya","","","26","78","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","405","1149","0","0","0","0
1","0
0","4
130
444",""
"","Vavuniya","","2020.12.02","15","63","","","","15","","",""
"","වව්ියාව","","","","","","","","","","",""
"","Vavuniya North","","2020.12.03","84","255","","","","4","3","",""
"5","tTdpah","(Burevi) Cyclone","","","","","","","","","",""
"","Vavuniya South
Vavuniya","","2020.12.02","3","10","","","","3","","",""
"","Vengala Cheddikulam","","2020.12.03","35","96","","","","35","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","137","424","0","0","0","0
57","3
0","0
0
0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","13052","43814","0","6","1","49
2026","286
17","56
2875
10559",""
