"","Weather Forecast for Main Cities","","","Date :","13-May-2025",""
"","Temperature (0C)","","","Relative Humidity (%)","",""
"City","","","","","","Weather"
"","Max","Min","Max","Min","",""
"Anuradhapura","34","25","90","60","Mainly fair",""
"Batticaloa","34","27","85","70","Mainly fair",""
"Colombo","30","27","95","75","Showers at times",""
"Galle","30","27","90","75","Showers at times",""
"Jaffna","35","29","75","60","Mainly fair",""
"Kandy","30","23","95","65","Several spells of showers",""
"Nuwara-Eliya","22","13","95","75","Several spells of showers",""
"Ratnapura","34","24","95","70","Showers at times",""
"Trincomalee","35","26","85","55","Mainly fair",""
"Mannar","34","29","80","65","A few showers",""
