"","Weather Forecast for Main Cities","","","","2024-07-18"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","90","60","Mainly fair"
"Batticaloa","34","26","80","50","Mainly fair"
"Colombo","31","25","90","70","Several spells of showers"
"Galle","29","24","95","75","Showers at times"
"Jaffna","32","28","80","65","Mainly fair"
"Kandy","27","23","95","75","Several spells of showers"
"Nuwara-Eliya","17","14","95","85","Several spells of showers"
"Ratnapura","31","23","95","75","Showers at times"
"Trincomalee","34","27","75","55","Mainly fair"
"Mannar","31","28","85","70","Mainly fair"
