"","Weather Forecast for Main Cities","","","","5-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","23","95","45","Mainly fair"
"Batticaloa","31","24","90","70","Mainly fair"
"Colombo","33","24","85","60","Mainly fair"
"Galle","32","25","90","55","Mainly fair"
"Jaffna","33","24","70","55","Mainly fair"
"Kandy","33","18","95","55","Mainly fair"
"Nuwara-Eliya","23","9","90","50","Mainly fair"
"Ratnapura","34","23","95","45","A few showers"
"Trincomalee","31","23","85","65","Mainly fair"
"Mannar","32","24","95","65","Mainly fair"
