"","","Point Pedro","2023.11.14-15","60","211","","","","","2","","","1","9","36 Polikandy East"
"","","","","","","","","","","","","","","","Common Hall"
"","","Chankanai","2023.11.14-15","364","1284","","","","","5","","1","","",""
"","","Kopay","2023.11.15","269","870","","","","","4","","","","",""
"","","Uduvil","2023.11.15","2","9","","","","","2","","","","",""
"","යාපනය","","","","","","","","","","","","","",""
"","","Chavakachcheri","2023.11.15","23","90","","","","","16","","1","","",""
"","8
aho;g;ghzk;","Flood","","","","","","","","","","","","",""
"","Jaffna","Tellippalai","2023.11.15","12","43","","","","","","","","","",""
"","","Jaffna","2023.11.15","8","27","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","",""
"tl khfhzk;","","Sandilippay","2023.11.15","56","198","","","","","2","","","","",""
"Northen","","Nallur","2023.11.15","2","5","","","","","","","","","",""
"","","Karaveddy","2023.11.15","182","635","","","","","2","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","978","3372","0","0","0","0","33","0","2","1","9","36"
"","මුලතිව්","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Puthukudiyirippu"
"","9
Ky;iyj;jPT","Puthukidiyirippu","Flash Flood
2023.11.17","17","48","","","","","","","","1","3","10"
"","","","","","","","","","","","","","","","West Community Hall"
"","Mulaitivu","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","17","48","0","0","0","0","0","0","0","1","3","10"
"","පළාත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","","","995","3420","0","0","0","0","33","0","2","2","12","46"
"","","Nattandiya","2023.11.08-12","7","26","","","","","","","","","",""
"","","Arachikattuwa","2023.11.05-06","38","120","","","","","","","","","",""
"වයඹ පලාත","පුත්තලම","","","","","","","","","","","","","",""
"","","Mundalama","2023.11.03-17","458","1684","","","","","1","","4","","",""
"tlNky;","Gj;jsk;     
10","Flood","","","","","","","","","","","","",""
"","Puttalam","Mahawewa","2023.11.06-10","9","38","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"North Western","","Kalpitiya","2023.11.06- 15","114","574","","","","","","","","","",""
"","","Wennappuwa","2023.11.07-13","28","104","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","","","654","2546","0","0","0","0","1","0","4","0","0","0"
