"","Weather Forecast for Main Cities","","","Date :","18-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","95","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","26","90","75","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","27","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","27","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","27","95","60","Mainly fair"
"Kandy","32","22","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","13","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","25","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","90","60","Showers or thundershowers after 2.00p.m"
"Mannar","34","26","90","70","Showers or thundershowers are likely after 2.00p.m"
