"","","","","","","","People","Fully","","Partiall","Small, Medium,","Damages to","","","",""
"","","","","","","","","","","","","","of Safety","","Families",""
"","","","","","","","","","","y","Enterprises","critical","","","",""
"","","","","","","","","","","","","","Locations","","",""
"","","","","","","","","","","","Damages","Infrastructure","","","",""
"","බදුල්ල","","","","","","","","","","","","","","",""
"1","Welimada
Fire
gJs;is","2020.08.17","12","54","","","","","12","","","","","1","12","54 Alakolagala Day Care Centre"
"Badulla","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","12","54","0","0","0","","12","0","0","","0","1","12","54"
"ඌව","","","","","","","","","","","","","","","",""
"Cth khfhzk;","ම ොනරොගල","","","","","","","","","","","","","","",""
"2
Uva","Siyambalanduwa
Drowning
nkhdwhfiy","2020.10.14","","","1","","","","","","","","","","",""
"","Moneragala","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","0","0","1","0","0","","0","0","0","","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","12","54","1","0","0","","12","0","0","","0","1","12","54"
"","Harispaththuwa","2020.10.15","3","17","","","","","","3","","","","","",""
"","Gagawatakoralaya","2020.10.14","1","4","","","","","","1","","","","","",""
"","","2020.10.15","1","3","","","","","","1","","","","","",""
"","Udunuwara","","","","","","","","","","","","","","",""
"","","2020.10.16","1","5","","","","","","1","","","","","",""
"","හනුවර","","","","","","","","","","","","","","",""
"","Pujapitiya","2020.10.15","4","16","","","","","","4","","","","","",""
"3","fz;b","High Wind & Heavy Rain","","","","","","","","","","","","","",""
"ධ්‍ය  පලොත","","2020.10.13","2","6","","","","","","2","","","","","",""
"Kandy","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","Kundasale","","","","","","","","","","","","","","",""
"","","2020.10.14","1","2","","","","","","1","","","","","",""
"Central","","","","","","","","","","","","","","","",""
"","Minipe","2020.10.13","3","9","","","","","","3","","","","","",""
"","","2020.10.15","13","47","","","","","","13","","","","","",""
"","Medadumbara","","","","","","","","","","","","","","",""
"","","2020.10.16","2","8","","","","","","2","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","31","117","0","0","0","","0","31","0","","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","31","117","0","0","0","","0","31","0","","0","0","0","0"
"","Angunukolapelessa","2020.10.14","1","5","","","","","","1","","","","","",""
"","හම්බනමතොට","","","","","","","","","","","","","","",""
"4","High Wind
`k;ghe;Njhl;il 
Hambanthota","2020.10.15","2","9","","","","","","2","","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","","",""
"njd; khfhzk;","Beliatta","2020.10.14","1","1","","","","","","","1","","","","",""
"Southern","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","4","15","0","0","0","","0","3","1","","0","0","0","0"
