"","Missing in the","","","","","","","","","","","","",""
"ගාල්ල              
Hikkaduwa","","2018.06.29","","","","","7","","","","","","",""
"15
fhyp","Marine","","","","","","","","","","","","",""
"Galle
Ambalangoda","Fire","2018.07.017","1","4","","","","1","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","1","4","0","0","7","1","0","0","0","0","0","0"
"Ambalanthota","","2018.07.16","","","","5","","","","","1","","",""
"දකුනු පලාත/","","","","","","","","","","","","","",""
"njd;","","","","","","","","","","","","","",""
"හම්බන්නතොට 
Okewela","","2018.07.17","1","5","","","","","1","","","","",""
"khfhzk;/","","","","","","","","","","","","","",""
"16
`k;ghe;Njhl;il","High Wind","","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","","",""
"Hambantota
Thissamaharamaya","","2018.07.17","","","","","","","13","","","","",""
"Beliattha","","2018.07.18","5","18","","","","","5","1","2","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","6","23","0","5","0","0","19","1","3","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","7","27","0","5","7","1","19","1","3","0","0","0"
"නමොනරාගල","","","","","","","","","","","","","",""
"17
Bibila
nkhdwhfiy","High Wind","2018.07.18","5","18","","","","","3","","","","",""
"ඌව/Cth","","","","","","","","","","","","","",""
"Moneragala","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total
Uva","","","5","18","0","0","0","0","3","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","5","18","0","0","0","0","3","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","101482","348067","1","12","13","16","366","8","4","6","31","136"
