"Warakapola
ගංවතුර හා ඉවුරු","36","110","","1","","1","31","","","","",""
"Kegalle
කඩාවැටීම","80","280","","1","","2","65","","","","",""
"Galigamuwa
kz;rhpT","38","151","","","","","9","1","","","",""
"Flood & Cutting","","","","","","","","","","","","One person deid due"
"Bulathkohupitiya","210","677","1","1","","","15","","","","",""
"Failure","","","","","","","","","","","","to Cutting Failure"
"","","","","","","","","","","","","One person deid due to"
"Ruwanwella
කෑගේල","212","866","1","","","","22","1","","","",""
"","","","","","","","","","","","","Drowning"
"9
Nffhiy","2018.05.20 /29","","","","","","","","","","",""
"Deraniyagala","180","720","","","","","180","5","","","",""
"Kegalle","","","","","","","","","","","",""
"Dehiovita","559","2219","","","","","478","1","","","",""
"Aranayaka","152","474","","","","","28","","","","",""
"Yatiyanthota","21","120","","","","","21","1","","","",""
"","","","","","","","","","","","","One person deid due to"
"Rambukkana","21","83","1","","","1","10","","","","",""
"","","","","","","","","","","","","Tree Fallen"
"Mawanella","73","290","","","","2","46","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","1582","5990","3","3","0","6","905","9","0","0","0","0"
"Ehaliyagoda","136","544","","","","2","17","","","","",""
"","","","","","","","","","","","","One person deid due to"
"Kuruvita
සබරගමුව","1583","6431","1","","","2","71","","","","",""
"","","","","","","","","","","","","Building Collapse"
"පලාත/rg;uf","","","","","","","","","","","",""
"Nivithigala","177","660","","","","","33","","","","",""
"Kt/","","","","","","","","","","","",""
"Rathnapura","1944","8293","","","","1","135","","","","",""
"Sabaragam","","","","","","","","","","","",""
"Elapatha","2631","9880","","","","5","56","","","","",""
"uwa/","","","","","","","","","","","",""
"Kahawatta","29","112","","","","","29","","","","",""
"Kalawana","80","291","","","","","26","","","","",""
"නායයෑම් /ඉවුරු කඩා","","","","","","","","","","","",""
"රත්නපුර","","","","","","","","","","","",""
"","","","","","","","","","","","","One person deid due"
"වැටීම  kz;rhpT/ 
Kiriella","1588","5867","1","1","","2","12","","","","",""
"10
,uj;jpdGhp","2018.05.21","","","","","","","","","","",""
"Landslide Cutting","","","","","","","","","","","","to Cutting Failure"
"Rathnapura","","","","","","","","","","","",""
"Failure
Pelmadulla","371","1450","","","","2","37","","","","",""
"Opanayaka","97","298","","","","","10","","","","",""
"Ayagama","310","1071","","","","2","18","","","","",""
"Balangoda","16","57","","","","","14","","","","",""
"Imbulpe","20","77","","","","1","19","","","","",""
"Kolonna","41","160","","3","","","41","","","","",""
"Godakawala","38","152","","","","","35","","","","",""
"Weligapola","15","48","","","","2","13","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","9076","35391","2","4","0","19","566","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","10658","41381","5","7","0","25","1471","9","0","0","0","0"
"Elpitiya","26","165","","","","1","25","","","","",""
"Karandeniya","5","14","","","","","5","","","","",""
"Walivita divitura","18","80","","1","","","18","","","","",""
"Habaraduwa","19","70","","","","5","13","1","","","",""
"Akmeemana","8","43","","","","","8","","","","",""
"","","","","","","","","","","","","One person deid due"
"Thawalama","86","306","1","","","","86","1","","","",""
"","","","","","","","","","","","","to Drowning"
"දැඩි වර්ෂාව          
Ambalangoda","9","34","","","","2","6","","","","",""
"ගාේල","","","","","","","","","","","",""
"11
fLk; kio","2018.05.20","","","","","","","","","","",""
"Nagoda
fhyp        Galle","178","705","","","","1","31","","","","",""
"Heavy Rain","","","","","","","","","","","",""
"Balapitiya","9","42","","","","","9","","","","",""
"Baddegame","109","373","","","","","18","4","","","",""
"Hikkaduwa","11","35","","","","","1","10","","","",""
"Niyagama","7","24","","","","1","3","3","","","",""
"Bope Poddala","7","29","","","","","7","","","","",""
"Kadawath Sathara","5","24","","","","","5","","","","",""
"Imaduwa","5","20","","","","","4","1","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","502","1964","1","1","0","10","239","20","0","0","0","0"
