"","Weather Forecast for Main Cities","","","","13-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","75","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","31","25","95","70","A few showers"
"Colombo","31","25","95","70","Showers or thundershowers after 2.00p.m"
"Galle","32","24","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","33","26","95","75","Mainly fair"
"Kandy","31","22","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","12","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","31","24","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","25","90","60","A few showers"
"Mannar","32","24","90","70","Showers or thundershowers are likely after 2.00p.m"
