"","Weather Forecast for Main Cities","","","","19-Aug-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","40","Mainly fair"
"Batticaloa","36","26","85","65","Mainly fair"
"Colombo","31","27","80","60","A few showers"
"Galle","30","26","90","75","A few showers"
"Jaffna","31","26","90","70","Mainly fair"
"Kandy","31","21","95","50","A few showers"
"Nuwara-Eliya","21","14","90","60","A few showers"
"Ratnapura","35","24","95","50","A few showers"
"Trincomalee","37","26","80","40","Mainly fair"
"Mannar","31","27","85","75","Mainly fair"
