"","Weather Forecast for Main Cities","","","","7-Jun-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","65","Showers or thundershowers are likely after 4.00p.m"
"Batticaloa","34","27","85","65","Showers or thundershowers are likely after 4.00p.m"
"Colombo","31","27","95","80","Showers or thundershowers at times"
"Galle","30","27","95","80","Showers or thundershowers at times"
"Jaffna","33","24","90","65","Mainly fair"
"Kandy","30","22","95","70","Showers or thundershowers at times"
"Nuwara-Eliya","21","15","95","80","Showers or thundershowers at times"
"Ratnapura","31","24","95","80","Showers or thundershowers at times"
"Trincomalee","36","27","80","55","Showers or thundershowers are likely after 4.00p.m"
"Mannar","32","28","85","70","A few showers"
"","ප්‍රධාන  නගර සදහා කාෙගුණ අනාවැකිය","","","","2023-06-07"
"","උෂ්ණත්වය(ලස. අංශ්‍ක)","","සාලේක්ෂ ආර්ද්‍රතාවය(%)","",""
"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","33","26","90","65","සවස 4.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"මඩකලපුව","34","27","85","65","සවස 4.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"හකාළඹ","31","27","95","80","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ගාල්ල","30","27","95","80","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"යාපනය","33","24","90","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මහනුවර","30","22","95","70","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"නුවරඑළිය","21","15","95","80","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"රත්නපුරය","31","24","95","80","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ිකුණාමලය","36","27","80","55","සවස 4.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"මන්නාරම","32","28","85","70","වැසි ස්වල්පයක්"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"","","","","","பி.ப. 4.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"அனுராதபுரம்","33","26","90","65",""
"","","","","","மழை பபய் யும் சாத்தியம்"
"","","","","","பி.ப. 4.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"மட்டக்களப்பு","34","27","85","65",""
"","","","","","மழை பபய் யும் சாத்தியம்"
"வகாழும் பு","31","27","95","80","அவ்வப்பபாது மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"காலி","30","27","95","80","அவ்வப்பபாது மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"யாழ் ப்பாணம்","33","24","90","65","பிரதானமாக சீரான வானிழல"
"கண் டி","30","22","95","70","அவ்வப்பபாது மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"நுவவரலியா","21","15","95","80","அவ்வப்பபாது மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"இரத்தினபுரி","31","24","95","80","அவ்வப்பபாது மழை அல் லது இடியுடன்  கூடிய மழை பபய் யும்"
"","","","","","பி.ப. 4.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"திருககாணமலை","36","27","80","55",""
"","","","","","மழை பபய் யும் சாத்தியம்"
"மன் னார்","32","28","85","70","சிறிதளவில்  மழை பபய் யும்"
