"B
ay of Bengal",""
"W
eather:",""
"EQ - 15N, 90E-100E",": Showers or thundershowers at several places."
"Other sea areas",": Showers or thundershowers at few places."
"W
inds:",""
"05N - 10N, 80E-100E",": South-westerly / (30-40) kmph; gusting up to (50-55) kmph."
"EQ - 05N, 80E-90E",": South-westerly / (30-40) kmph; gusting up to 50 kmph."
"Other sea areas",": South-westerly / (25-35) kmph."
"S
tate of the Sea:",""
"05N - 10N, 80E-100E",": Fairly rough; rough at times."
"EQ - 10N, 85E-100E",": Moderate; Fairly rough at times."
"Other sea areas",": Moderate."
