"","Weather Forecast for Main Cities","","","Date :","2024-09-19"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","50","Mainly fair"
"Batticaloa","36","25","80","45","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","80","70","Several spells of showers"
"Galle","29","27","90","80","Several spells of showers"
"Jaffna","35","28","85","55","Mainly fair"
"Kandy","29","22","90","65","Several spells of light showers"
"Nuwara-Eliya","19","14","95","75","Several spells of light showers"
"Ratnapura","33","24","95","70","Several spells of showers"
"Trincomalee","37","26","85","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","85","70","Mainly fair"
