"13 
කුරුණෑගල 
1008 
3653 
0 
0 
1","0","9",""
"01 
ගාේල 
 
 
1","","",""
"එකතුව 
84 
 
60674 
245212 
14 
2 
2","14","817","72 
3520"
"▪  බලපෑමට ලක් වූ දිසරික් සංඛ්‍යාව",":","","10"
"▪  බලපෑමට ලක් වූ ප්‍රාදේශිය දේකම් දකාට්ඨාශ සංඛ්‍යාව",":","","84"
"▪  බලපෑමට ලක් වූ මුළු පවුේ සංඛ්‍යාව",":","","60674"
"▪  බලපෑමට ලක් වූ මුළු පුේගල සංඛ්‍යාව",":","","245212"
"▪  මියයෑම්",":","","14"
"▪  තුවාල ලැබූ සංඛ්‍යාව",":","","02"
"▪","අතුරුදහන් වීම්                                                                   :         02","",""
"▪  මුළු පූර්ණ හානි සංඛ්‍යාව",":","","14"
"▪  මුළු අර්ධ හානි සංඛ්‍යාව",":","","817"
"▪  මුළු සුරක්ෂිත මධයසරථාන සංඛ්‍යාව",":","","72"
"▪  සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පවුේ සංඛ්‍යාව",":","","3520"
"▪  සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පුේගල සංඛ්‍යාව",":","","15658"
"▪  ඥාති නිවාස වල සිටින මුළු පවුේ සංඛ්‍යාව",":","","794"
"▪  ඥාති නිවාස වල සිටින මුළු පුේගල සංඛ්‍යාව",":","","3397"
