"නගරෙ","","","","","කාෙගුණෙ"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","33","26","90","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","33","27","85","70","සවස 4.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"හකාළඹ","31","27","85","70","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ගාල්ල","30","27","80","70","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"යාපනය","33","24","95","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මහනුවර","31","24","95","70","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"නුවරඑළිය","24","15","95","70","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"රත්නපුරය","33","24","95","70","විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ිකුණාමලය","36","26","85","55","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
