"","Weather Forecast for Main Cities","","","Date :","2024-09-26"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","55","Mainly fair"
"Batticaloa","35","25","85","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","26","85","70","Several spells of showers"
"Galle","31","26","90","75","Several spells of showers"
"Jaffna","33","28","85","65","A few showers"
"Kandy","30","22","95","65","Several spells of showers"
"Nuwara-Eliya","20","14","95","75","Several spells of showers"
"Ratnapura","33","24","95","65","Several spells of showers"
"Trincomalee","36","27","85","40","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","28","85","70","Mainly fair"
