"","","DS Division
District","Families","","","","","Fully","Partially","சேதங் கள்","","","",""
"","","","","","","","","","","","critical","of Safety","Families",""
"","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","","","","","Infrastructure","Locations","",""
"","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","Damages","","","",""
"","","හම්බනවතාට 
Beliatta
High Wind","2021.08.27
1","1","","","","","1","","","","",""
"","1","`k;ghe;Njhl;il","","","","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","",""
"","","Walasmulla
High Wind
Hambantota","2021.09.02
1","2","","","","","1","","","","",""
"njd;","","","","","","","","","","","","","",""
"khfhzk;","","","2","3","0","0","0","0","2","0","0","0","0","0"
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","2","3","0","0","0","0","2","0","0","0","0","0"
"","","යාපනය","","","","","","","","","","","",""
"","2","Kopay
Lightning
aho;g;ghzk;","2021.09.03
1","5","1","","","","","","","","",""
"උතුරු පලාත","","Jaffna","","","","","","","","","","","",""
"tl khfhzk","","","","","","","","","","","","","",""
"Northen","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","1","5","1","0","0","0","0","0","0","0","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","1","5","1","0","0","0","0","0","0","0","0","0"
