"","Weather Forecast for Main Cities","","","Date :","22-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","85","60","Mainly fair"
"Batticaloa","34","27","70","55","Mainly fair"
"Colombo","29","26","85","80","Showers at times"
"Galle","27","25","95","90","Showers at times"
"Jaffna","32","27","80","60","Mainly fair"
"Kandy","27","22","90","75","Several spells of showers"
"Nuwara-Eliya","16","15","95","90","Showers at times"
"Ratnapura","29","24","95","75","Showers at times"
"Trincomalee","34","26","80","50","Mainly fair"
"Mannar","32","28","90","70","Mainly fair"
