"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","11","28","0","0","0","0","11"
"","","Koralaipattu West","","","56","188","","","","",""
"","","Koralaipattu","","","315","856","","","","",""
"","","Koralaipattu Central","Flood","","663","2592","","","","","4"
"","","Koralaipattu South","","","734","2680","","","","","2"
"නැගෙනහිර පලාත","","","","","","","","","","",""
"","","Eravur Pattu","","","2511","8292","","","","","1"
"fpof;F     Eastern","","","","","","","","","","",""
"","මඩකලපුව","Eravur Town","","","711","2474","","","","",""
"6","kl;lf;fsg;G","","Flood","2021.01.04","","","","","","",""
"","Batticaloa","Manmunai North","","","3837","13258","","","","",""
"","","Kattankudy","Flood","","5498","18712","","","","",""
"","","Manmunaipattu","","","1156","3480","","","","",""
"","","Manmunaisouthwest","","","7","20","","","","",""
"","","","Flood","","","","","","","",""
