"Palindanuwara","3","6","","","","","3","","","","",""
"Panadura","","","","","","","","","1","","",""
"Walallawita","1","4","","","","","1","","","","",""
"Dodamgoda","2","8","","","","","2","","","","",""
"කළුතර  fSj;Jiw","","","","","","","","","","","",""
"6
High Wind","2024.07.29","","","","","","","","","","",""
"බස්ත්‍ර ොහිර පලොත 
 Kalutara","","","","","","","","","","","",""
"Beruwala","6","24","","","","","6","","","","",""
"Nky; khfhzk","","","","","","","","","","","",""
"
Madurawala","1","4","","","","","1","","","","",""
"Kalutara","5","19","","","","","5","","","","",""
"Agalawaththa","4","13","","","","","4","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","22","78","0","0","0","0","22","0","1","0","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","22","78","0","0","0","0","22","0","1","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","8423","26473","0","0","2","0","54","6","1","2","4","21"
