"","Weather Forecast for Main Cities","","","Date :","8-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","95","60","Several spells of showers"
"Batticaloa","29","24","95","75","Several spells of showers"
"Colombo","31","24","90","60","Mainly fair"
"Galle","29","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","95","70","A few showers"
"Kandy","30","18","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","10","90","50","Several spells of showers"
"Ratnapura","34","23","95","60","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","23","95","75","Several spells of showers"
"Mannar","29","25","90","70","A few showers"
