"Nky;","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"බස්නාහිර පලාත","","","","","","","","","","","","","","",""
"","","Moratuwa","","2","10","","","","","2","","","","",""
"","නකාළඹ nfhOk;G","","","","","","","","","","","","","",""
"","4","Kolonnawa","High Wind","2021.07.10
30","120","","","","","30","","","","",""
"","Colombo","","","","","","","","","","","","","",""
"","","Seethawaka","","4","15","","","","","4","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","36","145","0","0","0","0","36","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","107","423","0","0","0","0","86","20","0","0","0","0"
"","","Kiriella","High Wind","19","79","","","","","15","","","","",""
"","","Kalawana","Flood","29","93","","","","","29","","","","",""
"","","Elapatha","Flood","183","644","","","","","16","","","1","4","15"
"","","Ayagama","Heavy Rain","11","43","","","","","8","","","","",""
"","","Kahawaththa","High Wind","3","14","","","","","3","","","","",""
"","","Rathnpura","Flood","1876","7735","","","","","15","","","7","59","265"
"","රත්නපුර","","","","","","","","","","","","","",""
"","5
,uj;jpdGhp","Pelmadulla","Flood","25
2021.07.10","89","","","","","25","","","","",""
"","Rathnapura","Nivithigala","","19","71","","","","","7","","","","",""
"සබරගමුව පලාත","","Kuruvita","","162","608","","","","","35","","","","",""
"rg;ufKt","","Eheliyagoda","","19","69","","","","","19","","","","",""
"Sabaragamuw","","","High Wind","","","","","","","","","","","",""
"","","Godakawala","","7","29","","","","","7","","","","",""
"a","","","","","","","","","","","","","","",""
"","","Kolonna","","3","10","","1","","1","2","","","","",""
"","","Imbulpe","","5","20","","","","","5","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","2361","9504","0","1","0","1","186","0","0","8","63","280"
"","කෑගල්ල Nffhiy","","","","","","","","","","","","","",""
"","6","Mawanella","Tree Fallen","2021.07.10
4","18","","","","","4","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","18","0","0","0","0","4","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2365","9522","0","1","0","1","190","0","0","8","63","280"
