"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","20","81","0","0","0","0","19","0","0","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","33","135","1","0","1","0","32","0","0","0","0","0"
"කුරු ෑෙල","","","","","","","","","","","","",""
"14
Pannala
Drowning
FUdhfy; 
වයඹ පලොත","2022.10.21","","","1","","","","","","","","",""
"Kurunegala
tlNky;","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","0","0","1","0","0","0","0","0","0","0","0","0"
"North Western","","","","","","","","","","","","",""
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","0","0","1","0","0","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","3960","16478","6","6","1","8","393","11","2","7","57","237"
"","","","","ආපදො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
