"","","","","","","Water","Water","","Water Level","24 Hr RF"
"","","","","Minor","Major","","","","",""
"River Basin
Tributory/River","","","Alert","","","Level at","Level at","Remarks","Rising or","in mm at"
"","Station","Unit","","Flood","Flood","","","","",""
"","","","Level","","","8:00 am","9:00 am","","Falling","8.30 am"
"","","","","Level","Level","","","","",""
"Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","2.20","2.30","Normal","","-"
"Kelani Ganga","Hanwella","m","7.00","8.00","10.00","2.44","2.42","Normal","","0.0"
"Kelani Ganga","Glencourse","m","15.00","16.50","19.00","10.50","10.48","Normal","","1.6"
"Kelani Ganga","","","","","","","","","",""
"Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","1.89","1.80","Normal","","0.0"
"(RB 01)","","","","","","","","","",""
"Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","0.61","0.64","Normal","","2.8"
"Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","1.04","1.04","Normal","","1.4"
"Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.94","0.94","Normal","","1.4"
"Kalu Ganga","Putupaula","m","3.00","4.00","5.00","1.09","1.07","Normal","","2.8"
"Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","5.84","5.83","Normal","","0.2"
"Kalu Ganga","","","","","","","","","",""
"Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","1.98","1.94","Normal","","0.0"
"(RB 03)","","","","","","","","","",""
"Maguru Ganga","Magura","m","4.00","6.00","7.50","1.87","1.87","Normal","","0.0"
"","Kalawellawa","","","","","","","","",""
"Kuda Ganga","","m","5.00","6.50","8.00","3.50","3.50","Normal","","3.2"
"","(Millakanda)","","","","","","","","",""
"Gin Ganga","Baddegama","m","3.50","4.00","5.00","1.60","1.60","Normal","","2.3"
"Gin Ganga","","","","","","","","","",""
"(RB 09)","","","","","","","","","",""
"Gin Ganga","Thawalama","m","4.00","6.00","7.50","1.77","1.76","Normal","","3.2"
"Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","0.62","0.64","Normal","","0.0"
"Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","3.31","3.26","Normal","","0.5"
"Nilwala Ganga","","","","","","","","","",""
"(RB 12)","","","","","","","","","",""
"Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","0.90","0.92","Normal","","9.6"
"Urubokka Ganga","Urawa","m","2.50","4.00","6.00","0.46","0.47","Normal","","4.0"
"Walawe Ganga","","","","","","","","","",""
"Walawe Ganga","Moraketiya","m","3.00","5.00","7.00","0.97","0.98","Normal","","0.0"
"(RB 18)","","","","","","","","","",""
"Kirindi Oya","Thanamalwila","m","4.00","5.00","5.50","0.54","0.53","Normal","","0.0"
"Kirindi Oya","","","","","","","","","",""
"Kirindi Oya","Wellawaya","m","4.40","5.40","5.90","0.78","0.78","Normal","","0.0"
"(RB 22)","","","","","","","","","",""
"Kuda Oya","Kuda Oya","m","6.90","8.40","8.80","1.25","1.25","Normal","","0.0"
"Menik Ganga (RB","","","","","","","","","",""
"Menik Ganga","Katharagama","m","4.00","4.60","6.50","-0.14","-0.14","Normal","","0.0"
"26)","","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","","",""
"Kumbukkan Oya","Nakkala","m","5.00","6.00","7.50","0.75","0.75","Normal","","0.0"
"(RB 31)","","","","","","","","","",""
"Heda Oya","","","","","","","","","",""
"Heda Oya","Siyambalanduwa","m","4.50","6.00","7.00","0.47","0.47","Normal","","0.0"
"(RB 36)","","","","","","","","","",""
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.27","0.27","Normal","","0.0"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya (HMIS)","m","3.00","4.30","6.00","0.06","0.06","Normal","","0.0"
"Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.92","-2.93","Normal","","0.0"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","3.10","3.15","Normal","","0.6"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","1.62","1.62","Normal","","4.7"
"Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.39","0.36","Normal","","0.0"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.50","1.49","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.56","0.56","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","1.19","1.18","Normal","","0.0"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.38","0.38","Normal","","0.0"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","0.91","0.89","Normal","","0.5"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","2.53","2.52","Normal","","2.4"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","Giriulla","m","5.50","6.50","7.50","1.30","1.30","Normal","","8.7"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","1.38","1.38","Normal","","0.5"
"(RB 103)","","","","","","","","","",""
"Prepared by : 
K.K.C.U.Dilshan (H.A.)","","","","","","","","","",""
"Checked by :
G.A.S.A.Jayamal (H.A.)","","","","","","","","","",""
