"","Weather Forecast for Main Cities","","","Date :","24-Jun-2025",""
"","Temperature (0C)","","","Relative Humidity (%)","",""
"City","","","","","","Weather"
"","Max","Min","Max","Min","",""
"Anuradhapura","32","25","90","65","Mainly fair",""
"Batticaloa","35","24","80","60","Mainly fair",""
"Colombo","31","27","85","75","Several spells of showers",""
"Galle","30","27","90","80","Several spells of showers",""
"Jaffna","33","23","80","65","Mainly fair",""
"Kandy","28","23","95","75","Several spells of showers",""
"Nuwara-Eliya","21","15","90","80","Several spells of showers",""
"Ratnapura","32","25","95","75","Several spells of showers",""
"Trincomalee","35","26","85","50","Mainly fair",""
"Mannar","32","28","90","80","Mainly fair",""
