"","Weather Forecast for Main Cities","","","","12-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","26","90","70","Showers or thundershowers after 2.00p.m"
"Colombo","30","26","85","70","Showers or thundershowers"
"Galle","30","26","90","75","Showers or thundershowers"
"Jaffna","32","26","95","55","Showers or thundershowers"
"Kandy","33","22","95","55","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","13","90","65","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","24","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","27","85","65","Showers or thundershowers after 2.00p.m"
