"","Weather Forecast for Main Cities","","","Date :","6-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","55","Mainly fair"
"Batticaloa","30","25","80","65","Mainly fair"
"Colombo","32","26","85","60","Mainly fair"
"Galle","32","25","85","60","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","22","90","65","Mainly fair"
"Kandy","30","19","90","55","Mainly fair"
"Nuwara-Eliya","20","10","90","40","Mainly fair"
"Ratnapura","35","22","90","40","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","30","25","85","65","Mainly fair"
"Mannar","31","25","90","65","Mainly fair"
