"නගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","25","90","65","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","33","26","85","65","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","30","27","90","75","වැසි වාර කිහිපයක්"
"ගාල්ල","30","25","95","80","වැසි වාර කිහිපයක්"
"යාපනය","32","27","85","65","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","28","23","95","75","වැසි වාර කිහිපයක්"
"නුවරඑළිය","18","14","95","80","වැසි වාර කිහිපයක්"
"රත්නපුරය","32","24","95","75","වැසි වාර කිහිපයක්"
"ත්‍රිකුණාමලය","35","26","85","50","ප්‍රධාන වශයයන් වැසි රහිත"
