"","","","","","","","Page 2","","","","","","","","",""
"","","","","2020.04.27","16","69","","","","","16","","","","",""
"","","Badalkumbura","","","","","","","","","","","","","",""
"","පමානරාගල","","","2020.04.28","14","56","","","","","14","","","","",""
"","","","High Wind /","","","","","","","","","","","","",""
"9","nkhdwhfiy","Sewanagala","","2020.04.28","1","4","","","","","1","","","","",""
"ඌව","","","Lightning","","","","","","","","","","","","",""
"Cth khfhzk","Moneragala","Wellawaya","","2020.04.26","4","18","","","","","4","","","","",""
"Uva","","","","","","","","","","","","","","","",""
"","","Thanamalwila","","2020.04.27","5","23","","","","","5","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","40","170","0","0","0","0","40","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","40","170","0","0","0","0","40","0","0","0","0","0"
"","","Pathavisripura","","","16","41","","","","","12","","","","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"","","Morawewa","","","9","30","","","","","9","","","","",""
"10","jp.kiy","","High Wind","2020.04.29","","","","","","","","","","","",""
"නැපගනහිර පලාත","","","","","","","","","","","","","","","",""
"","","Thamabalagamuwa","","","1","3","","","","","1","","","","",""
"fpof;F","Trincomalee","","","","","","","","","","","","","","",""
"","","Kinniya","","","1","2","","","","","1","","","","",""
"Eastern","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","27","76","0","0","0","0","23","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","27","76","0","0","0","0","23","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","427","1619","1","2","0","1","419","3","0","1","5","26"
"","","","","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
