"","Weather Forecast for Main Cities","","","Date :","26-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","25","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","95","75","Showers or thundershowers at times"
"Galle","31","26","80","75","Showers or thundershowers at times"
"Jaffna","34","28","90","65","Showers or thundershowers after 2.00p.m"
"Kandy","32","22","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","13","95","85","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","34","27","90","70","Showers or thundershowers after 2.00p.m"
